词,提示1,提示2
指南针,物品,3
织女,卡通人物,2
直升飞机,名称,4
栀子花,植物,3
中央电视台,名称,5
中央空调,名称,4
猪鼻子,名称,3
主机,名称,2
猪脚,名称,2
桌球,名称,2
自由女神,名称,4
钻石,名称,2
最后的晚餐,名称,5
坐标,名称,2
